character,degree,betweenness,closeness,eigenvector,pagerank,frequency
Gutenberg,1,0.0,0.2632925493750236,0.02253076139725388,0.000654146293480581,6
Charles Dickens,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,11
Cecilia,1,0.0,0.2632925493750236,0.02253076139725388,0.000654146293480581,1
Walter Besant,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,6
Rice,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Adam Bede.=,1,0.0,0.19607967208734967,0.008810888931252753,0.0006407292395314965,1
"a Madame Saint Alban , whom I met some years ago in Switzerland",1,0.0,0.1987500178161657,0.008957689912200415,0.0006433900365181338,2
"Lydia,--if",1,0.0,0.2632925493750236,0.02253076139725388,0.000654146293480581,1
the Herrnhuters,1,0.0,0.2632925493750236,0.02253076139725388,0.000654146293480581,1
Meanwhile,1,0.0,0.2632925493750236,0.02253076139725388,0.000654146293480581,1
Natalia,1,0.0,0.2632925493750236,0.02253076139725388,0.000654146293480581,2
the Danaides,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Sisyphus,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
the Herrnhut Brethren,1,0.0,0.2632925493750236,0.02253076139725388,0.0008675483694928377,3
"God,--a",1,0.0,0.2632925493750236,0.02253076139725388,0.000654146293480581,1
Jesus,1,0.0,0.2632925493750236,0.02253076139725388,0.0007608473314867093,2
the Invisible Power,1,0.0,0.2632925493750236,0.02253076139725388,0.000654146293480581,1
the Danes,1,0.0,0.19275001727831917,0.005286458432475051,0.0006936862052788928,1
Berber,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Hecuba,1,0.0,0.2067965772419214,0.013596839521658062,0.0006427116982158827,3
Children of Joy,1,0.0,0.2080601001171266,0.012615376383812561,0.0006510967347530635,1
Fright,1,0.0,0.20554830816400232,0.013266926241825011,0.0006465007209818102,1
Soft,1,0.0,0.20070237555502782,0.009808598345031228,0.0006596260725510552,1
Jove,1,0.0,0.18607925165302217,0.0017139075973540705,0.0008954280870277182,1
Embryos,1,0.0,0.2632925493750236,0.02253076139725388,0.000654146293480581,1
Lord Baron,1,0.0,0.2632925493750236,0.02253076139725388,0.0008675483694928377,12
Chance,1,0.0,0.18574092574092577,0.0018201700639350828,0.0010824027402931188,19
Eve,1,0.0,0.21327246170669972,0.014004670578677847,0.000646755878182182,1
Iris,1,0.0,0.2632925493750236,0.02253076139725388,0.000654146293480581,1
Whither,1,0.0,0.2030964396769566,0.010541922836740892,0.0006479408404450767,1
Unhappy Melina,1,0.0,0.2632925493750236,0.02253076139725388,0.000654146293480581,32
Christmas,1,0.0,0.2632925493750236,0.02253076139725388,0.000654146293480581,1
Juliet Sutherland,1,0.0,0.004884004884004884,3.871536623750202e-16,0.0028083666035854946,1
Barbara Heathcote,1,0.0,0.017015242821694435,3.5204177010752485e-13,0.0020903902031400123,1
W. S. Mayo,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
